epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.022,1.78106,2.36034,1.65515,0.63101,0.6106,0.6278,0.29827,1.68974,1.67763,1.59704,0.0033313,0.0033313,0.0033313
2,595.496,1.75654,1.7405,1.61384,0.72652,0.63812,0.69218,0.34983,1.65306,1.45838,1.63076,0.00653267,0.00653267,0.00653267
3,882.194,1.8123,1.71459,1.67104,0.66546,0.58614,0.62425,0.28063,1.87683,1.6295,1.80491,0.00960205,0.00960205,0.00960205
4,1168.39,1.82235,1.66853,1.68664,0.75793,0.64153,0.71142,0.36295,1.75635,1.41755,1.69854,0.009406,0.009406,0.009406
5,1457.31,1.75518,1.54863,1.64669,0.81676,0.67245,0.77488,0.40604,1.66299,1.26423,1.65262,0.009208,0.009208,0.009208
6,1743.07,1.70864,1.45947,1.6128,0.77689,0.68151,0.75456,0.39368,1.66409,1.24984,1.64386,0.00901,0.00901,0.00901
7,2035.72,1.67347,1.39153,1.58537,0.7939,0.71865,0.77661,0.42164,1.6253,1.19032,1.59102,0.008812,0.008812,0.008812
8,2322.27,1.63805,1.33369,1.55647,0.808,0.72783,0.80054,0.42314,1.62755,1.11416,1.59879,0.008614,0.008614,0.008614
9,2610.91,1.60777,1.26965,1.52595,0.817,0.73293,0.81229,0.44056,1.58809,1.07823,1.57232,0.008416,0.008416,0.008416
10,2898.17,1.58498,1.22708,1.50533,0.83026,0.72579,0.81677,0.4528,1.57017,1.06218,1.5341,0.008218,0.008218,0.008218
11,3183.72,1.56199,1.18212,1.4811,0.84599,0.71671,0.81467,0.4385,1.61431,1.06258,1.55513,0.00802,0.00802,0.00802
12,3469.14,1.54363,1.14849,1.46425,0.81481,0.74312,0.82572,0.45838,1.58652,1.03624,1.55129,0.007822,0.007822,0.007822
13,3754.9,1.52045,1.11152,1.44838,0.83994,0.75424,0.83,0.47519,1.56038,0.97517,1.53162,0.007624,0.007624,0.007624
14,4039.83,1.5039,1.08377,1.43421,0.85672,0.7741,0.85178,0.48296,1.53803,0.95897,1.51184,0.007426,0.007426,0.007426
15,4325.7,1.48122,1.04878,1.41584,0.83439,0.74924,0.83107,0.47306,1.54982,0.97603,1.54395,0.007228,0.007228,0.007228
16,4611.2,1.46524,1.02038,1.40342,0.83072,0.78797,0.84959,0.48513,1.55206,0.92437,1.53059,0.00703,0.00703,0.00703
17,4896.6,1.44898,0.99509,1.38916,0.85106,0.78638,0.85442,0.48642,1.57431,0.90533,1.53841,0.006832,0.006832,0.006832
18,5185.15,1.4312,0.97714,1.37823,0.85607,0.76962,0.85618,0.48246,1.57709,0.91092,1.54592,0.006634,0.006634,0.006634
19,5470.76,1.41506,0.9503,1.36153,0.85184,0.75602,0.85003,0.48416,1.53649,0.90445,1.53332,0.006436,0.006436,0.006436
20,5756.2,1.40056,0.92864,1.34782,0.85256,0.78899,0.85865,0.49125,1.54998,0.903,1.53425,0.006238,0.006238,0.006238
21,6041.89,1.38659,0.9164,1.33568,0.84054,0.78988,0.85199,0.48452,1.53614,0.91437,1.51452,0.00604,0.00604,0.00604
