epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87158,0.62399,3.0403,0.96493,0.67113,0.42856,0.53247,0.41964,0.56624,2.18532,0.87256,0.00027296,0.00027296,0.00027296
2,14.7062,0.59948,1.87087,0.96013,0.87512,0.81112,0.89888,0.8009,0.58312,1.1402,0.90894,0.000536999,0.000536999,0.000536999
3,21.7807,0.61073,1.46143,0.95835,0.93436,0.86453,0.95283,0.84324,0.57896,0.97759,0.91012,0.000787293,0.000787293,0.000787293
4,28.9853,0.61172,1.34624,0.96749,0.92692,0.913,0.93516,0.84119,0.54836,0.86985,0.90074,0.00077115,0.00077115,0.00077115
5,36.1177,0.59605,1.30367,0.95122,0.90415,0.84165,0.92424,0.86528,0.53408,0.92317,0.90423,0.000750533,0.000750533,0.000750533
6,43.2449,0.58148,1.20633,0.96066,0.93784,0.86719,0.92648,0.85797,0.52427,0.88968,0.8806,0.000729916,0.000729916,0.000729916
7,50.3344,0.57813,1.17805,0.95315,0.94496,0.93421,0.95437,0.87993,0.50884,0.77562,0.88933,0.000709299,0.000709299,0.000709299
8,57.2119,0.58155,1.12592,0.94923,0.94952,0.92134,0.95632,0.89783,0.48744,0.76142,0.86423,0.000688683,0.000688683,0.000688683
9,64.0985,0.54313,1.05638,0.93085,0.97754,0.92282,0.95102,0.91598,0.4609,0.72412,0.86226,0.000668066,0.000668066,0.000668066
10,70.5705,0.52241,0.99887,0.91587,0.93746,0.91867,0.95229,0.89086,0.47152,0.69913,0.86546,0.000647449,0.000647449,0.000647449
11,77.1095,0.49671,0.95029,0.91531,0.92583,0.94111,0.96038,0.90439,0.48577,0.6932,0.88448,0.000626832,0.000626832,0.000626832
12,84.2508,0.48529,0.89853,0.91225,0.94041,0.93922,0.95123,0.8875,0.48346,0.66776,0.88714,0.000606216,0.000606216,0.000606216
13,91.2311,0.47531,0.86526,0.91388,0.95239,0.94771,0.95646,0.8954,0.42494,0.63299,0.83963,0.000585599,0.000585599,0.000585599
14,98.2263,0.49661,0.84576,0.91735,0.95512,0.90603,0.96515,0.91357,0.44949,0.59539,0.85981,0.000564982,0.000564982,0.000564982
15,105.153,0.47115,0.8089,0.904,0.95572,0.94092,0.95348,0.91246,0.45854,0.6133,0.88171,0.000544365,0.000544365,0.000544365
16,112.045,0.4572,0.80062,0.89639,0.94942,0.93913,0.95325,0.91182,0.43643,0.60839,0.87712,0.000523749,0.000523749,0.000523749
17,118.767,0.44676,0.78671,0.89232,0.94834,0.91742,0.95241,0.91844,0.45797,0.62052,0.92258,0.000503132,0.000503132,0.000503132
18,125.57,0.44808,0.72268,0.89916,0.9761,0.94211,0.95636,0.9055,0.4186,0.5487,0.87477,0.000482515,0.000482515,0.000482515
19,132.444,0.42579,0.7093,0.88425,0.96153,0.93648,0.95925,0.92264,0.42524,0.57964,0.84303,0.000461898,0.000461898,0.000461898
20,139.147,0.42526,0.68976,0.89865,0.96138,0.93872,0.96053,0.91819,0.41641,0.57458,0.85757,0.000441282,0.000441282,0.000441282
21,146.115,0.4015,0.67611,0.88415,0.95921,0.93579,0.96343,0.91401,0.42907,0.55039,0.85547,0.000420665,0.000420665,0.000420665
22,152.966,0.39409,0.62816,0.87292,0.96028,0.93786,0.96097,0.9086,0.42364,0.54693,0.86221,0.000400048,0.000400048,0.000400048
23,159.668,0.40098,0.65882,0.87633,0.96241,0.93605,0.96155,0.92463,0.38765,0.53357,0.8547,0.000379431,0.000379431,0.000379431
24,166.404,0.39246,0.61859,0.88008,0.96976,0.93475,0.96189,0.9275,0.37329,0.4821,0.85308,0.000358815,0.000358815,0.000358815
25,173.306,0.38792,0.62141,0.8749,0.946,0.93334,0.95974,0.93267,0.38153,0.51455,0.8455,0.000338198,0.000338198,0.000338198
26,179.857,0.38854,0.59628,0.86617,0.98058,0.91848,0.95764,0.92053,0.42329,0.52762,0.88872,0.000317581,0.000317581,0.000317581
27,187.048,0.37506,0.60742,0.86566,0.9555,0.94679,0.96471,0.92996,0.42287,0.50108,0.8717,0.000296964,0.000296964,0.000296964
28,194.335,0.38235,0.5754,0.87629,0.97227,0.94334,0.96281,0.93449,0.35022,0.48081,0.82663,0.000276348,0.000276348,0.000276348
29,201.794,0.36379,0.55467,0.86897,0.96972,0.92716,0.95652,0.92366,0.37198,0.5023,0.86402,0.000255731,0.000255731,0.000255731
30,208.952,0.33362,0.52046,0.85543,0.95274,0.94821,0.96408,0.93253,0.38582,0.50967,0.85922,0.000235114,0.000235114,0.000235114
